2026-05-19 04:54:05 | INFO | arbitrage | Arbitrage event closed INJUSDT BUY binance SELL gateio
2026-05-19 04:54:08 | INFO | arbitrage | Arbitrage event closed INJUSDT BUY bingx SELL gateio
2026-05-19 04:54:08 | INFO | arbitrage | Arbitrage event closed INJUSDT BUY bybit SELL gateio
2026-05-19 05:04:11 | INFO | arbitrage | Arbitrage event created INJUSDT BUY bingx SELL bitget spread=0.3114% net=0.1083% conf=55.3%
2026-05-19 05:04:16 | INFO | arbitrage | Arbitrage event created NEARUSDT BUY binance SELL bybit spread=0.3736% net=0.1736% conf=42.7%
2026-05-19 05:04:16 | INFO | arbitrage | Arbitrage event created NEARUSDT BUY binance SELL bitget spread=0.3736% net=0.1736% conf=37.1%
2026-05-19 05:04:16 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:04:22 | INFO | arbitrage | Arbitrage event created NEARUSDT BUY binance SELL coinex spread=0.3798% net=0.0786% conf=32.3%
2026-05-19 05:04:22 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:04:22 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
2026-05-19 05:04:22 | INFO | arbitrage | Arbitrage event created INJUSDT BUY bingx SELL bybit spread=0.3282% net=0.1039% conf=56.2%
2026-05-19 05:04:22 | INFO | arbitrage | Arbitrage event created INJUSDT BUY bingx SELL binance spread=0.3074% net=0.0941% conf=55.3%
2026-05-19 05:04:29 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:04:29 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:04:29 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
2026-05-19 05:04:29 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL coinex
2026-05-19 05:04:29 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bybit
2026-05-19 05:04:29 | INFO | arbitrage | Arbitrage event created NEARUSDT BUY binance SELL bingx spread=0.3736% net=0.1736% conf=32.9%
2026-05-19 05:04:29 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL binance
2026-05-19 05:04:29 | INFO | arbitrage | Arbitrage event created INJUSDT BUY bingx SELL coinex spread=0.3196% net=0.0196% conf=55.3%
2026-05-19 05:04:35 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:04:35 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
2026-05-19 05:04:35 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL binance
2026-05-19 05:04:35 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL coinex
2026-05-19 05:04:35 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL coinex
2026-05-19 05:04:35 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bingx
2026-05-19 05:04:35 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bybit
2026-05-19 05:04:40 | INFO | arbitrage | Arbitrage event updated INJUSDT BUY bingx SELL bitget
2026-05-19 05:04:40 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bybit
2026-05-19 05:04:40 | INFO | arbitrage | Arbitrage event updated NEARUSDT BUY binance SELL bitget
